Geneid	HISAT2 on data 38 and data 37: aligned reads (BAM) (WT)
653635	359
100422834	0
645520	0
79501	0
729737	7
100507658	0
100132287	0
100288646	0
729759	0
100131754	102
81399	0
100287654	0
100133331	18
100288069	10
100287934	0
400728	203
79854	40
643837	176
100506327	104
284593	0
284600	14
100130417	1
148398	70
26155	5347
339451	197
84069	174
84808	37
57801	4
9636	404
375790	3011
401934	2
54991	337
406984	0
406983	0
554210	0
100506376	0
254173	0
8784	0
7293	0
51150	6280
126792	810
388581	12
118424	2300
6339	49
116983	947
126789	423
54973	2323
80772	1081
83756	16
1855	3696
54587	36
100506404	3
54998	3934
81669	486
148413	341
55052	1819
441869	2
643965	0
100288271	0
64856	4
219293	7
83858	2642
55210	3307
339453	5
29101	3978
643988	0
142678	792
8510	0
984	910
728661	786
8511	0
728642	596
100506482	86
9906	21
65220	1793
2782	10645
163688	0
339456	0
85452	0
2563	0
5590	5
100506504	4
199990	453
100128003	146
6497	975
79906	131
100129534	70
11079	4577
5192	571
9651	0
55229	626
388585	0
115110	6
100133445	0
8764	166
100506589	4
127281	603
79258	0
100287898	0
140625	0
440556	0
63976	0
100422968	0
27237	0
1953	51
693135	0
127262	1077
49856	341
7161	2
100506635	0
57212	163
148870	0
388588	0
57470	1852
9731	761
1677	113
339448	553
100133612	36
728716	0
284661	0
55966	0
261734	298
8514	661
26038	0
6146	8170
388591	2
23463	6664
148645	4
390992	0
387509	101
11332	3673
100130071	2
54626	1
83715	10
100422975	0
8718	61
57449	552
79707	1096
80835	13
3104	471
9903	9448
148479	1944
90326	366
55735	3888
100505887	0
23261	571
100505935	297
100505910	0
9341	6534
8863	251
10911	2
3604	686
11315	14753
54206	3889
50651	113
473	1630
100505990	0
2023	166932
100505975	44
765	0
155184	0
6518	19
100302218	0
80045	152
407040	9
727721	15
9563	3718
80176	1729
100506022	12
84275	724
199953	1295
5293	1646
644997	0
22883	5500
645010	0
56998	355
84328	987
64802	935
116362	0
10277	2368
23095	3363
100287506	4
5226	9612
378708	860
1325	8
1676	2303
5195	1470
54897	70
148345	0
23435	7345
10747	12
6723	6161
5394	3973
2475	4033
10218	0
29914	1036
57540	8
26232	29
93611	535
26270	30
10459	2277
374946	0
100506086	3
57085	3311
100506273	0
284498	0
100506310	0
100506116	0
4524	481
1185	611
4878	6
4879	0
26829	0
90231	2984
5351	9773
9927	11583
60672	1087
943	46
7133	2449
55187	1039
677885	0
9249	1198
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
729368	0
441873	0
440563	0
645359	0
401940	0
343068	0
391002	0
343070	0
400736	0
391003	0
654348	0
391001	0
729516	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	2214
7799	902
23254	421
200197	0
55092	1068
114827	972
79180	7445
11330	0
63036	1
51032	11
842	469
23341	675
100507192	1
79814	7
645317	2
84301	112
6248	74
23207	7970
284723	13
388595	0
54751	270
440567	308
729614	117
23013	1406
7709	1721
149563	0
27129	16
1187	1
1188	2
348487	91
1969	2953
100506484	24
128272	2
79363	107
54455	1052
26099	17459
374955	1
55707	3281
114819	43
26871	2
100506533	1
100133301	0
55672	580
84809	310
11209	11
26869	0
729574	0
284729	0
729587	0
6060	1
11223	14
100506687	41
26870	0
9696	279
4237	633
23400	2507
6390	7180
11240	2
400743	0
29943	33
51702	121
23569	10
353238	0
55920	7369
55160	1233
81569	1296
84966	0
127707	0
5081	0
80834	0
8659	378
100302276	0
126917	1425
23352	7658
23065	3924
51154	5801
246181	28
22977	9
100506730	200
8574	2817
54896	1482
832	12857
644075	14
644083	0
440574	5995
4681	3110
3362	0
255104	1121
54546	0
23252	542
30814	0
5320	0
5322	0
26279	0
64600	0
391013	0
127733	4
127731	3
339505	6
55450	1998
79594	3097
163933	118
978	390
65018	10914
1650	17699
57576	3
400745	492
50809	3983
8672	2225
100302155	0
1889	12662
100506824	0
100506801	3
84224	88
249	32
5909	44
84196	1479
401944	2
3339	1385
23436	0
10136	0
29092	317
998	11906
54361	0
9923	1445
2046	0
712	0
714	0
713	0
2048	3514
100422914	0
646262	0
729059	4
23028	4850
100422866	0
7798	3041
3352	0
10236	12059
80818	552
148898	79
6920	33
55616	681
1870	1190
3399	4280
259283	0
729856	0
6135	25123
6924	4003
100506963	27
57095	4011
11313	5322
2582	3779
3155	1572
2517	306
1269	0
55629	220
10772	129
127294	166
58985	50
163702	24
284632	0
57822	8
90529	361
57185	3894
11123	156
100506985	101
400746	0
10250	3447
25932	13814
864	4
25949	2196
57035	907
6007	39
23585	6456
6006	31
55219	1245
26119	2468
57134	173
100507013	0
57190	6445
56181	2735
646471	71
79000	438
164091	790
3925	14417
5051	667
2134	36
7780	0
84676	10
149420	161
79927	0
100128346	6
51042	135
10256	1
378807	0
64793	1172
83442	16948
91544	807
1043	0
55057	6
257101	0
79727	0
79947	1945
3151	23378
6195	2882
100302190	0
8289	1991
55650	575
84243	1983
2810	8
54707	1231
63906	1369
8431	0
10726	12641
126695	0
646567	1
388610	881
115572	164
6548	1796
23038	2945
84065	3019
644961	44
84958	5
9064	1283
8547	0
388611	0
2827	159
10163	7803
27245	1232
2268	0
2537	1034
199870	374
23673	1703
5511	2799
677774	4
9473	856
6118	3954
27293	14
55113	2135
2140	452
653566	122
5724	28
22826	9807
93974	4237
83667	1787
54797	907
65979	2144
8420	1572
1104	8006
6080	28
26768	19
54952	1396
85028	458
692212	10
677838	123
677825	10
692073	26
115273	0
6883	921
26824	4
10691	413
51441	3564
4985	0
2035	742
399474	527
6429	4053
51102	990
10076	182
100288450	0
4146	2
100129196	0
7805	51
9672	74
9698	2542
692234	4
692235	1
692200	0
28997	2
79570	0
9410	3135
51538	2567
2170	96
347735	812
149086	0
284551	0
64129	4
3061	0
553115	4382
1307	2584
576	613
100423028	0
90853	3128
8073	9224
100507229	0
10657	8144
55116	845
23633	5489
200081	5666
79140	542
55721	252
149069	2
100507457	2
56063	177
8668	19166
339483	83
84734	34
3932	4
3065	6202
65108	124
100128071	9
81629	100
55108	3360
728116	0
653121	389
339487	1154
5928	5802
81493	769
57648	2744
8565	9353
64766	699
252995	2
3208	14
113452	1242
127544	1438
100505584	2
204	15989
113451	306
55223	455
149076	356
1912	7104
7579	271
114784	1881
127540	0
84970	1143
693137	0
2709	16
127534	3
2707	6
2701	2
113444	2547
58512	0
100506144	651
9204	396
79830	506
100506168	222
6421	14985
9202	989
79932	2362
23154	2927
339488	2
5690	10422
127703	1869
63967	1538
192670	368
26523	1800
192669	365
27285	10
54936	1916
1296	26
27095	5330
55700	14876
9967	6298
79729	24
55194	143
83931	3719
100506594	0
84967	1766
127700	255
64960	4296
1441	0
2899	0
100422898	0
728431	451
80149	2822
64769	2242
79753	1357
7802	99
29889	2286
284654	0
54955	1022
55143	4410
284656	0
149175	234
79693	1604
127687	1904
4520	1109
3633	602
10946	7670
2275	118
51118	2286
5453	0
64121	2084
26292	998
100506806	2
81025	5
54933	141
79647	4848
4725	6364
23499	5209
100292290	0
643314	1113
353500	11
728448	16
8761	12863
100506950	0
677834	8
26508	0
84618	0
51440	7
10450	2090
656	2
64064	4
100287437	0
54802	736
4610	18
84879	925
10487	21481
5538	6312
6018	699
127391	0
10269	4005
1298	74
100286988	226
64744	1795
65243	81
339559	101
64789	107
127396	151
9783	2833
100130557	37
4802	1309
407034	0
407031	0
9132	6
163732	0
1503	6286
100507178	14
200172	2
22955	1020
100132074	4
1907	0
59269	681
100507198	125
2981	0
2980	2
22887	2187
284716	0
84217	0
79717	22
100507214	14
728621	56
10465	2029
100507252	6
4904	53793
149461	0
64175	3447
79078	327
100129924	2
100507268	0
374969	145
114625	316
51058	218
6513	2761
440584	12
440585	22
10969	6841
149465	10
100506711	2
128218	0
149466	0
7075	6
4352	4
991	10569
64834	7266
112950	2643
149469	73
23334	792
81888	49
