Geneid	HISAT2 on data 23 and data 24: aligned reads (BAM)	HISAT2 on data 18 and data 17: aligned reads (BAM)
100287102	0	0
653635	65	77
102466751	5	3
100302278	0	0
645520	0	0
79501	0	0
729737	2	5
102725121	0	0
102723897	70	83
102465909	0	0
729759	0	0
100132287	4	3
105378947	1	0
101928626	0	0
102465432	8	2
81399	0	0
100133331	25	8
100288069	32	7
400728	96	175
79854	39	38
643837	571	397
284593	0	0
100130417	32	2
148398	250	68
26155	2311	2263
339451	280	91
84069	137	73
84808	53	35
57801	9	0
9636	151	159
375790	1553	883
105369174	26	11
105378948	6	4
401934	2	0
54991	189	167
254099	0	0
406984	0	0
406983	0	0
554210	0	0
254173	0	0
8784	0	0
7293	3	1
51150	3570	3424
126792	421	456
388581	32	3
118424	867	939
6339	64	14
116983	1020	552
102465434	0	0
126789	242	221
54973	951	955
102465435	0	0
80772	459	512
83756	33	8
1855	1852	1391
102466740	0	0
54587	202	38
54998	1516	2039
81669	1615	586
148413	240	157
55052	982	1083
441869	0	0
643965	0	0
102724312	0	0
64856	2	1
219293	6	0
83858	936	889
55210	1228	1480
339453	1	0
29101	1633	2070
643988	0	0
142678	350	404
8510	1	0
984	1015	755
728661	627	384
8511	2	0
728642	244	80
9906	306	127
65220	967	1036
2782	7868	5845
105378949	5	11
163688	13	1
339456	0	1
85452	0	0
2563	0	0
5590	5	1
100506504	13	7
199990	466	426
105378592	1	1
6497	797	624
105378594	5	1
79906	124	99
100129534	43	32
11079	2677	2534
5192	349	296
9651	0	0
55229	20	8
388585	0	0
115110	0	0
8764	19	1
100996583	0	0
127281	10	10
79258	0	0
100287898	0	0
140625	0	0
440556	0	0
63976	0	0
100422968	0	0
27237	0	2
1953	15	4
693135	0	0
127262	301	506
49856	112	143
7161	22	0
57212	164	79
148870	0	0
388588	0	0
57470	552	591
9731	485	424
1677	67	65
339448	228	245
100133612	7	15
728716	0	0
284661	0	0
55966	0	0
100616489	0	0
100616421	0	0
261734	129	155
8514	87	173
26038	1	0
6146	2547	4026
102724450	0	0
388591	5	1
23463	2513	3137
148645	11	2
390992	0	0
387509	54	17
11332	716	1456
54626	2	0
83715	5	4
100422975	0	0
8718	74	42
57449	383	252
79707	835	475
80835	5	1
3104	245	215
9903	2424	3954
148479	577	932
90326	124	188
55735	1244	1669
100505887	0	0
23261	394	921
9341	3422	4675
8863	809	293
10911	27	3
3604	863	365
11315	3977	7504
54206	2210	2330
102724539	4	1
50651	44	50
473	1143	870
102724552	1	1
2023	48372	94659
102465436	0	1
100505975	10	1
765	0	0
155184	0	0
6518	11	6
80045	87	147
407040	31	14
9563	1648	1907
80176	461	948
100506022	16	15
84275	191	425
199953	424	775
5293	715	357
644997	0	0
101929074	17	4
22883	2329	2642
56998	62	221
84328	443	685
64802	435	397
100847055	1	0
105376719	0	0
116362	0	0
10277	1277	1333
23095	2374	2177
100422970	0	0
5226	2573	3532
100526739	1	1
378708	37	48
1325	6	3
1676	715	1204
5195	357	564
54897	24	8
148345	0	0
23435	4002	4743
10747	42	21
6723	1270	3959
5394	1643	1933
2475	2355	2024
100873935	2	0
10218	0	1
29914	337	556
57540	1	1
101929181	1	0
26232	46	18
93611	265	280
26270	18	7
10459	435	1072
374946	0	0
57085	552	1084
284498	0	0
102724659	0	0
4524	280	225
1185	409	265
100379251	4	1
4878	2	1
4879	0	0
26829	2	0
90231	906	1731
5351	3373	6650
9927	3536	5521
60672	234	432
102466982	0	0
943	16	10
102465836	0	0
7133	1232	1114
100616438	0	0
55187	1467	878
677885	1	1
9249	338	290
102466722	0	0
343066	0	0
126767	0	0
93190	0	0
390999	0	0
65121	6	0
440560	0	0
343069	3	2
65122	0	0
400735	0	0
343071	0	0
441871	0	0
440561	0	0
653606	0	0
102724742	0	0
101929983	0	0
649330	0	0
441873	0	0
649324	0	0
440563	0	0
645354	0	0
645359	0	0
101060301	0	0
343070	0	0
400736	0	0
391003	0	0
343068	0	0
391002	0	0
645382	0	0
653619	0	0
729528	0	0
645414	0	0
391004	0	0
645425	0	0
126755	0	0
10630	697	1669
7799	840	549
23254	207	474
200197	4	4
55092	348	489
727684	0	3
114827	1400	440
101927417	134	27
79180	1488	3559
11330	1	1
63036	0	0
51032	2	5
842	147	118
23341	604	494
79814	24	4
84301	137	112
6248	90	70
23207	2071	3097
284723	10	30
388595	0	0
54751	419	105
440567	57	152
729614	42	69
23013	1814	898
7709	476	643
101928566	0	0
149563	0	0
27129	132	19
1187	0	6
1188	0	0
348487	7	20
1969	484	623
128272	3	1
101927546	0	2
79363	66	57
54455	553	569
26099	4320	8068
374955	1	0
55707	718	1211
114819	74	35
26871	0	0
100126512	0	0
100126517	1	1
102724970	0	0
100133301	0	0
7195	0	0
55672	210	145
84809	138	136
11209	16	4
26869	1	0
729574	0	0
100126533	0	0
284729	0	0
100189045	0	1
102723383	0	0
6060	0	0
11223	4	0
100500876	0	0
100189298	0	0
7193	0	1
791226	1	0
9696	152	224
26870	1	0
4237	302	361
23400	661	1020
6390	1438	3503
11240	7	4
29943	43	47
51702	203	134
100616188	0	1
23569	0	8
353238	0	0
55920	1835	3488
55160	336	586
81569	18	305
101927876	0	0
84966	0	0
127707	0	0
5081	0	0
80834	0	0
8659	71	108
100616120	0	0
100302276	0	0
126917	421	458
23352	6322	2953
23065	2402	2140
51154	1042	2720
246181	15	13
22977	7	5
100506730	105	135
8574	553	1611
54896	432	724
832	4647	7245
100532736	0	0
440574	1286	2916
644068	3	13
4681	3	1
3362	0	0
255104	435	504
54546	0	0
23252	420	416
30814	0	0
5320	0	0
5322	0	4
26279	0	0
64600	0	0
391013	0	0
127733	0	2
101928017	1	2
127731	5	4
339505	8	8
55450	1167	3150
79594	954	1395
163933	129	30
978	72	141
65018	793	1168
102464833	0	0
100861548	103	136
1650	5012	6849
57576	14	3
400745	194	157
50809	3518	3051
8672	3101	1859
100302155	0	0
1889	6082	7344
100506801	8	3
84224	83	60
249	12	16
5909	1	12
84196	1215	1308
401944	2	1
3339	1410	459
23436	0	0
10136	0	0
101928043	11	1
29092	176	149
998	4848	7296
54361	2	0
100616433	0	0
9923	985	687
2046	0	0
102466615	0	0
712	0	0
714	0	0
713	0	0
2048	2164	1703
100616391	0	0
100422914	0	0
646262	0	0
729059	3	3
23028	1667	2396
100422866	0	0
100616177	0	0
7798	1643	1431
3352	2	0
100996511	26	16
10236	5892	7917
80818	434	374
148898	58	43
6920	65	18
55616	305	357
1870	330	669
101928163	1	0
3399	2325	2378
259283	0	0
6135	7321	14021
6924	1669	2026
100506963	20	13
57095	857	1754
11313	1210	2003
2582	579	1694
3155	531	609
2517	97	164
1269	0	0
100616492	0	0
55629	1376	2016
10772	2670	3025
127294	80	61
58985	20	32
163702	11	18
284632	0	0
57822	1	1
90529	154	167
57185	1703	1805
100750325	2	0
11123	183	199
100506985	37	28
400746	0	0
10250	2408	1888
25932	9118	9350
864	2	0
102465437	0	0
100616365	0	0
25949	922	1427
57035	1134	978
6007	29	19
23585	1729	2109
6006	27	35
55219	644	645
26119	541	1402
57134	20	386
57190	2252	4417
56181	720	1152
646471	59	33
79000	121	247
164091	411	339
3925	4602	10013
100500808	0	0
5051	380	375
2134	12	10
7780	0	0
105376910	0	0
84676	1	3
149420	123	164
79927	0	0
105376887	0	0
51042	210	531
10256	0	0
378807	0	0
101928303	0	0
64793	389	534
83442	5236	8930
91544	288	364
1043	0	0
55057	0	1
257101	0	0
79727	0	0
79947	855	1291
101928324	1	1
3151	6411	12481
6195	407	817
100302190	0	0
101928728	46	30
8289	1811	1161
55650	294	199
84243	377	743
2810	4	8
54707	386	548
63906	246	450
10726	2356	5701
8431	0	0
126695	0	0
388610	173	432
115572	72	120
6548	822	878
23038	904	1289
84065	558	1387
644961	38	14
100887744	0	0
84958	7	0
9064	784	1006
8547	3	3
388611	0	0
2827	67	163
10163	3174	4549
27245	737	563
2268	0	0
2537	450	639
199870	248	257
23673	976	1178
5511	1141	1716
677774	1	0
9473	308	442
6118	939	1880
27293	4	0
55113	627	1136
2140	631	707
5724	6	12
22826	2755	5471
93974	1237	2332
83667	766	491
54797	329	416
65979	1306	1180
1104	1269	3374
8420	847	1277
6080	41	20
26768	29	17
54952	361	669
85028	218	262
692212	3	2
677838	54	64
677825	13	11
692073	17	16
115273	5	0
6883	338	483
26824	0	0
10691	204	289
105376911	6	3
51441	1635	1661
4985	0	0
2035	278	440
399474	330	352
6429	1440	2224
51102	290	465
10076	462	167
101928460	0	0
101929406	0	0
4146	3	0
100129196	7	3
7805	0	2
100616164	0	0
400748	0	0
9672	356	25
9698	1712	1373
692234	0	0
692235	1	1
692200	0	0
79570	0	0
9410	660	1346
51538	593	1421
2170	36	43
347735	10	205
149086	0	0
284551	0	0
64129	1	2
3061	2	1
553115	977	1584
1307	2506	1095
576	444	256
100423028	1	0
90853	2409	1735
8073	5105	6315
10657	4095	5112
55116	381	461
100847018	0	0
23633	3173	2904
200081	2328	2583
79140	136	196
56063	85	74
55721	67	85
149069	7	0
8668	4074	7455
339483	22	47
84734	4	6
3932	0	0
3065	1704	2908
65108	623	36
100128071	7	9
81629	76	50
55108	997	1435
728116	0	1
653121	415	354
339487	538	697
5928	2237	3220
81493	962	647
57648	872	1335
8565	2453	3923
64766	572	413
252995	6	1
3208	1	8
113452	306	540
127544	384	620
204	3920	8077
113451	108	104
55223	219	233
149076	236	218
127550	0	0
1912	2286	3152
100500853	5	2
101929464	2	0
7579	365	225
114784	1870	1486
127540	0	0
402779	0	0
84970	806	587
693137	0	0
2709	5	4
127534	2	1
2707	4	6
2701	0	0
113444	814	1305
58512	0	0
653160	54	13
100506144	294	368
9204	600	337
79830	625	351
6421	6352	7832
9202	1389	995
79932	1348	1363
23154	1213	1204
339488	3	4
5690	3055	6052
127703	875	1152
63967	1217	1178
192670	341	345
26523	1055	832
192669	425	385
27285	2	0
54936	402	847
1296	4	8
27095	1437	2587
55700	4278	4827
9967	4562	4148
79729	108	24
55194	194	69
83931	1211	2082
84967	438	1011
127700	117	99
64960	972	1988
1441	0	0
2899	0	0
100422898	0	0
728431	88	155
80149	588	484
102465438	0	0
64769	664	1187
100847010	2	3
79753	466	627
7802	11	92
29889	1182	1537
284654	0	0
54955	414	510
55143	1060	1979
284656	0	0
149175	66	64
79693	376	561
127687	478	963
4520	738	606
3633	399	336
10946	2001	3537
2275	60	73
51118	905	1399
5453	0	0
100500801	0	0
339442	0	0
64121	1559	2335
100527950	1	0
26292	0	0
81025	0	0
54933	74	63
79647	1951	1979
4725	1916	3570
23499	7963	4304
643314	1720	870
105378950	0	0
353500	15	11
728448	63	8
8761	5780	7216
101929516	5	2
677834	8	6
26508	0	0
84618	0	0
51440	0	1
10450	310	681
656	2	3
64064	2	0
105378951	0	0
101929536	0	0
54802	437	437
4610	14	2
84879	249	345
10487	9820	12208
5538	2787	3590
6018	803	585
127391	0	0
10269	2717	2609
1298	72	40
64744	1159	1060
65243	106	78
339559	119	134
64789	98	57
127396	78	87
9783	1670	2189
100130557	42	28
4802	609	803
407034	0	0
407031	0	0
9132	2	3
163732	0	0
1503	2362	2931
100507178	23	2
200172	5	11
22955	496	596
100132074	0	0
1907	0	0
59269	990	643
2981	0	0
2980	0	0
22887	1283	1044
284716	6	0
84217	0	0
79717	137	9
728621	41	101
10465	412	1085
4904	16512	32294
149461	0	0
64175	1370	1823
79078	152	139
100129924	3	2
374969	106	127
114625	322	168
51058	120	127
339539	0	0
6513	1711	1822
440584	19	12
105378684	10	0
440585	1	1
10969	1561	2972
102465439	0	0
149465	1	0
128218	0	0
149466	0	0
7075	0	7
4352	1	3
991	2219	3812
64834	1806	3519
102466723	0	0
112950	535	963
23334	731	410
102465440	0	0
81888	2	1
5792	54	30
9682	884	980
100132774	28	45
6487	145	257
101929592	0	0
102464830	0	0
9048	151	166
9670	981	1313
1802	548	805
533	1390	3717
8704	570	1680
149473	83	117
6536	74	71
128209	31	44
105378952	0	0
55929	359	605
79033	731	1857
100874278	5	1
55182	1051	1751
100847089	0	0
79639	67	131
339541	11	1
26828	0	0
26830	2	0
11004	1496	2679
6202	8047	20596
26811	7	25
94161	5	3
94162	1	3
94163	2	6
266675	2	0
1263	169	187
343521	5	4
149478	98	22
8643	3	3
8891	399	832
79654	1567	1649
7389	1833	2860
57643	204	59
400752	6	6
84842	1	0
4595	157	167
114034	231	373
10420	48	63
126661	69	56
25974	328	360
5052	5730	13630
10327	861	1939
4678	2868	3444
149483	14	5
60313	1568	1348
728963	2	0
51249	491	547
3652	404	387
23139	1966	3284
8503	446	553
101929626	0	1
10103	116	77
55624	1804	2729
541468	26	28
8438	444	530
10489	1368	1833
7388	2219	5166
387338	345	504
2166	6	2
729041	3	14
101929651	0	0
127343	6	19
100507423	8	1
148930	0	0
8569	235	365
148932	161	269
64756	438	913
374973	1	0
100130197	0	3
9813	2109	2024
1580	0	0
163720	0	0
1579	0	0
260293	9	22
199974	0	0
284541	0	0
100874253	6	4
10158	0	3
6886	7	0
6491	904	868
51727	3510	4011
102724077	5	0
2301	0	0
84793	38	54
2306	40	65
388630	11	53
391037	0	0
200010	15	6
54558	229	260
84871	1	0
79656	1	2
101929721	0	0
100874313	0	0
1996	0	0
63950	0	0
11124	1	4
1031	2	2
100616189	0	0
102466656	0	0
284546	0	0
26994	1934	2590
22996	26	80
