Geneid	HISAT2 on data 41 and data 40: aligned reads (BAM) (KD)
653635	277
100422834	0
645520	0
79501	0
729737	12
100507658	0
100132287	4
100288646	0
729759	0
100131754	282
81399	0
100287654	0
100133331	45
100288069	22
100287934	0
400728	165
79854	29
643837	275
100506327	90
284593	0
284600	0
100130417	4
148398	53
26155	3037
339451	189
84069	140
84808	61
57801	2
9636	381
375790	1834
401934	0
54991	293
406984	0
406983	0
554210	0
100506376	0
254173	0
8784	0
7293	0
51150	6395
126792	604
388581	2
118424	1895
6339	44
116983	771
126789	323
54973	1285
80772	1074
83756	20
1855	2736
54587	95
100506404	3
54998	3012
81669	460
148413	166
55052	1663
441869	0
643965	0
100288271	0
64856	0
219293	0
83858	1936
55210	2481
339453	2
29101	3386
643988	0
142678	561
8510	0
984	818
728661	774
8511	0
728642	562
100506482	197
9906	5
65220	1911
2782	9943
163688	0
339456	0
85452	0
2563	0
5590	0
100506504	14
199990	464
100128003	122
6497	1271
79906	123
100129534	85
11079	4272
5192	598
9651	0
55229	442
388585	0
115110	2
100133445	0
8764	192
100506589	2
127281	606
79258	0
100287898	0
140625	0
440556	0
63976	0
100422968	0
27237	0
1953	63
693135	0
127262	825
49856	240
7161	2
100506635	0
57212	238
148870	0
388588	0
57470	1011
9731	682
1677	75
339448	373
100133612	18
728716	0
284661	0
55966	0
261734	229
8514	191
26038	0
6146	5341
388591	10
23463	6588
148645	4
390992	0
387509	36
11332	2310
100130071	0
54626	6
83715	1
100422975	0
8718	55
57449	732
79707	904
80835	2
3104	294
9903	6823
148479	2132
90326	143
55735	2418
100505887	0
23261	544
100505935	300
100505910	0
9341	8857
8863	552
10911	2
3604	464
11315	9948
54206	2361
50651	53
473	1879
100505990	0
2023	108979
100505975	22
765	0
155184	2
6518	62
100302218	0
80045	153
407040	7
727721	18
9563	4195
80176	1475
100506022	9
84275	606
199953	1696
5293	766
644997	0
22883	5297
645010	0
56998	668
84328	1405
64802	897
116362	0
10277	2115
23095	4265
100287506	0
5226	5770
378708	845
1325	4
1676	1757
5195	857
54897	20
148345	0
23435	8314
10747	17
6723	5828
5394	3171
2475	3574
10218	2
29914	1027
57540	4
26232	308
93611	512
26270	31
10459	1942
374946	0
100506086	0
57085	1810
100506273	0
284498	0
100506310	0
100506116	0
4524	380
1185	583
4878	12
4879	0
26829	0
90231	2472
5351	10002
9927	8309
60672	630
943	27
7133	2862
55187	1710
677885	0
9249	629
343066	0
126767	0
93190	0
390999	0
65121	4
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
729368	0
441873	0
440563	0
645359	0
401940	0
343068	0
391002	0
343070	0
400736	0
391003	0
654348	0
391001	0
729516	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	3273
7799	1056
23254	564
200197	1
55092	1108
114827	485
79180	5573
11330	0
63036	0
51032	3
842	151
23341	765
100507192	0
79814	6
645317	1
84301	216
6248	81
23207	4621
284723	18
388595	0
54751	317
440567	200
729614	89
23013	1938
7709	1054
149563	0
27129	115
1187	8
1188	0
348487	38
1969	1959
100506484	35
128272	0
79363	72
54455	760
26099	12626
374955	0
55707	1998
114819	55
26871	0
100506533	0
100133301	0
55672	947
84809	210
11209	25
26869	0
729574	0
284729	0
729587	0
6060	0
11223	5
100506687	47
26870	1
9696	315
4237	572
23400	2112
6390	4765
11240	4
400743	0
29943	16
51702	145
23569	6
353238	0
55920	6032
55160	1273
81569	255
84966	0
127707	0
5081	0
80834	0
8659	159
100302276	0
126917	831
23352	4620
23065	3584
51154	3766
246181	28
22977	13
100506730	181
8574	2132
54896	1160
832	8816
644075	43
644083	0
440574	4127
4681	1756
3362	0
255104	859
54546	0
23252	671
30814	0
5320	0
5322	4
26279	6
64600	0
391013	0
127733	4
127731	0
339505	7
55450	2883
79594	2312
163933	90
978	134
65018	5434
1650	15048
57576	15
400745	230
50809	5981
8672	3228
100302155	0
1889	15351
100506824	3
100506801	11
84224	119
249	23
5909	40
84196	1960
401944	0
3339	926
23436	0
10136	0
29092	306
998	10430
54361	0
9923	1122
2046	0
712	0
714	0
713	0
2048	4204
100422914	0
646262	0
729059	2
23028	3430
100422866	0
7798	2865
3352	0
10236	11579
80818	820
148898	50
6920	26
55616	608
1870	2450
3399	3021
259283	0
729856	0
6135	18233
6924	3442
100506963	29
57095	2979
11313	3082
2582	2047
3155	921
2517	481
1269	0
55629	289
10772	419
127294	174
58985	102
163702	54
284632	0
57822	0
90529	291
57185	3250
11123	222
100506985	191
400746	0
10250	3568
25932	19070
864	1
25949	2329
57035	820
6007	19
23585	6644
6006	36
55219	1429
26119	2370
57134	529
100507013	0
57190	8817
56181	1564
646471	76
79000	453
164091	680
3925	19225
5051	610
2134	22
7780	0
84676	0
149420	361
79927	1
100128346	5
51042	91
10256	7
378807	0
64793	1300
83442	14010
91544	610
1043	0
55057	11
257101	0
79727	0
79947	1869
3151	23529
6195	1288
100302190	0
8289	2686
55650	318
84243	2087
2810	16
54707	709
63906	691
8431	0
10726	8536
126695	0
646567	1
388610	642
115572	298
6548	1848
23038	2452
84065	2273
644961	30
84958	3
9064	1718
8547	0
388611	0
2827	204
10163	5894
27245	1382
2268	2
2537	1433
199870	529
23673	2019
5511	3053
677774	1
9473	710
6118	3959
27293	29
55113	1783
2140	528
653566	240
5724	35
22826	7763
93974	3225
83667	1293
54797	753
65979	2416
8420	1339
1104	6232
6080	42
26768	39
54952	994
85028	503
692212	6
677838	73
677825	6
692073	26
115273	0
6883	776
26824	1
10691	431
51441	3361
4985	0
2035	775
399474	606
6429	4108
51102	700
10076	413
100288450	0
4146	2
100129196	0
7805	11
9672	55
9698	2771
692234	2
692235	0
692200	0
28997	0
79570	0
9410	2462
51538	2774
2170	92
347735	339
149086	0
284551	0
64129	0
3061	0
553115	2630
1307	2427
576	428
100423028	0
90853	1476
8073	10669
100507229	6
10657	7975
55116	704
23633	5138
200081	4571
79140	293
55721	296
149069	0
100507457	11
56063	179
8668	9992
339483	80
84734	32
3932	0
3065	4651
65108	30
100128071	10
81629	50
55108	2249
728116	0
653121	809
339487	922
5928	5971
81493	1109
57648	3655
8565	6856
64766	893
252995	0
3208	34
113452	1124
127544	1161
100505584	0
204	9638
113451	134
55223	402
149076	282
1912	5950
7579	250
114784	2917
127540	0
84970	1075
693137	0
2709	7
127534	2
2707	11
2701	1
113444	1584
58512	1
100506144	679
9204	546
79830	762
100506168	373
6421	12367
9202	1773
79932	2490
23154	1970
339488	12
5690	6303
127703	1221
63967	3018
192670	476
26523	2008
192669	424
27285	0
54936	1459
1296	30
27095	3954
55700	8175
9967	6432
79729	49
55194	177
83931	2764
100506594	0
84967	1114
127700	192
64960	2885
1441	0
2899	0
100422898	0
728431	225
80149	926
64769	2014
79753	1003
7802	173
29889	2664
284654	0
54955	703
55143	4368
284656	0
149175	85
79693	765
127687	1510
4520	1303
3633	625
10946	6057
2275	173
51118	2408
5453	0
64121	1858
26292	1367
100506806	0
81025	6
54933	137
79647	3624
4725	4661
23499	9795
100292290	0
643314	2401
353500	9
728448	21
8761	9346
100506950	3
677834	8
26508	0
84618	0
51440	0
10450	1140
656	2
64064	2
100287437	0
54802	550
4610	0
84879	629
10487	17554
5538	7044
6018	1091
127391	0
10269	4773
1298	153
100286988	168
64744	1531
65243	239
339559	295
64789	56
127396	203
9783	2784
100130557	33
4802	1177
407034	0
407031	0
9132	0
163732	0
1503	5357
100507178	19
200172	7
22955	951
100132074	0
1907	0
59269	926
100507198	100
2981	0
2980	0
22887	2300
284716	0
84217	0
79717	16
100507214	8
728621	187
10465	1520
100507252	2
4904	40571
149461	0
64175	2945
79078	254
100129924	0
100507268	0
374969	161
114625	413
51058	231
6513	1646
440584	11
440585	10
10969	4316
149465	6
100506711	2
128218	0
149466	0
7075	25
4352	0
991	6170
64834	6822
112950	1686
149469	60
23334	807
81888	60
5792	39
9682	1634
100132774	26
6487	392
9048	265
9670	2001
1802	1146
533	4515
8704	2892
149473	275
6536	408
128209	79
100129492	8
55929	978
79033	2704
55182	2606
79639	211
339541	10
26830	5
11004	4343
6202	27485
26811	19
94161	5
94162	1
94163	11
266675	5
1263	388
343521	20
149478	53
8643	5
8891	1196
100507337	2
79654	2805
7389	3860
57643	113
400752	26
84842	8
4595	293
114034	659
10420	162
126661	117
25974	497
5052	22172
10327	2688
4678	7131
149483	15
60313	2435
728963	0
51249	842
3652	673
23139	6129
8503	1283
100133124	0
10103	327
100507408	0
55624	5021
541468	42
8438	882
10489	2378
7388	6779
387338	871
2166	12
729041	11
127343	6
100507423	2
148930	0
8569	543
148932	596
64756	2078
374973	0
9813	5832
100129898	0
1580	0
163720	0
1579	0
260293	74
199974	1
284541	0
10158	16
6886	0
6491	2240
51727	7509
2301	0
84793	98
2306	132
388630	60
100507479	0
391037	0
200010	5
54558	351
84871	0
79656	2
1996	0
63950	0
11124	2
1031	0
284546	0
26994	4836
22996	107
2060	2906
114883	3416
4898	6826
100313892	0
5865	5731
51060	4210
112970	738
91408	2310
9372	1286
200014	2063
4998	1839
84950	1268
23318	978
2882	1
348378	0
65260	662
79699	1890
440590	0
55268	24
6342	3094
127435	0
6512	4
1376	419
54987	1160
4116	1750
100507564	153
7804	2586
163742	0
63948	0
148979	166
55706	4890
54432	1446
1733	5
51668	2288
115353	1732
388633	0
9528	8744
127428	644
200008	0
606495	391
51253	7406
23648	756
619518	3
26027	14
338094	4
374977	0
7268	2409
25973	236
55001	0
163747	8
1718	14130
199964	4
7809	2
255738	47
23358	3054
100507634	31
100507652	0
8613	2263
5563	739
199920	0
731	0
732	0
1600	0
115209	269
4070	4
114803	281
3725	10425
100131060	2
729467	4
55277	174
51361	0
1573	49
127795	0
4774	226
83941	1399
10207	10
100422902	0
100422946	0
54596	0
163782	0
7398	4956
85440	2575
27329	0
100507664	0
84938	567
27022	0
29929	530
23421	1416
84455	458
79469	31
5236	5690
4919	299
148581	6
57685	194
55225	765
3716	10046
406893	0
205	2946
9829	872
100505510	6
3953	167
54741	3761
5142	386
84251	220
100422871	0
200132	18
10022	0
79819	48
57708	2006
23169	1767
400757	0
149233	0
3595	0
26135	17115
1647	1911
55970	12667
100289178	15
9077	73
79971	5022
100302279	0
6121	0
55635	3427
57554	0
5301	0
55631	1060
9295	3829
81573	1907
11147	302
1491	291
5733	6
100132618	13
9406	3137
406962	4
257194	57
127255	23
8790	642
51086	0
127254	0
1429	1605
127253	918
431707	14
204962	1
34	1522
5876	2167
692085	18
26805	21
26804	11
4438	4
127247	0
100505563	0
256435	0
81849	0
256483	0
10026	3568
26289	49
26009	1580
23032	2552
374986	987
653631	1106
374987	11
91624	306
8880	2953
11080	1674
54810	20
149047	16
5737	10
10964	593
10561	1349
64123	4
23266	14
79739	301
5567	1290
148418	20
391051	8
58511	0
80135	1097
2787	3393
100505741	0
1486	395
439927	0
117178	2032
23566	1
255231	85
55283	0
126820	96
84144	77
148423	576
8915	537
646626	5
23576	129
3491	3185
54680	870
255631	8
57489	245
9635	86
1179	0
22802	0
9629	46
51100	3906
9403	3708
9653	1758
339524	0
8543	1161
100505768	0
5586	1446
2959	668
56267	207
494115	275
2635	118
2633	553
2634	425
388646	0
115361	134
115362	6
163351	0
400759	7
23507	309
400761	9
84230	969
55144	1065
492303	33
284695	956
343472	0
100505821	4
100505809	20
100505840	0
84146	1048
100505857	22
164045	12
8317	806
343477	0
7049	975
676	0
253152	30
284697	29
23285	37
388649	1
11146	434
79871	358
2672	10
7813	460
6125	15173
6083	0
26782	3
388650	644
22823	433
50999	3948
343099	244
100131564	27
1810	2288
54874	392
8412	1259
100129046	0
100126348	0
30836	1672
2730	2380
100505924	0
24	36
9411	1686
100505940	0
5825	1713
2152	1514
126969	45
1266	2275
729970	13
199857	293
148534	628
25950	251
440594	0
58155	314
1806	725
400765	0
406928	0
51375	5774
163404	0
100129620	0
9890	122
54873	2294
391059	531
178	1698
730081	8
23443	844
64645	2828
163786	908
54482	556
127495	6
1629	961
100506007	53
8634	3345
693138	0
8556	227
54112	0
7412	10
2135	1580
148867	2150
51611	1253
100506051	67
100506029	60
1901	54
118427	0
94236	0
1301	4
55599	213
