Geneid	HISAT2 on data 12 and data 11: aligned reads (BAM)
653635	310
100422834	0
645520	0
79501	0
729737	27
100507658	0
100132287	7
100288646	0
729759	0
100131754	485
81399	0
100287654	2
100133331	95
100288069	120
100287934	11
400728	201
79854	68
643837	451
100506327	91
284593	2
284600	56
100130417	28
148398	439
26155	4546
339451	423
84069	314
84808	118
57801	8
9636	251
375790	3171
401934	0
54991	287
406984	0
406983	0
554210	0
100506376	0
254173	0
8784	0
7293	0
51150	6989
126792	826
388581	75
118424	1938
6339	104
116983	1922
126789	440
54973	2134
80772	1082
83756	35
1855	3832
54587	288
100506404	4
54998	3055
81669	1579
148413	521
55052	1939
441869	0
643965	0
100288271	2
64856	4
219293	3
83858	2103
55210	2644
339453	2
29101	3607
643988	0
142678	615
8510	0
984	1332
728661	1371
8511	0
728642	734
100506482	414
9906	45
65220	1965
2782	16618
163688	6
339456	0
85452	0
2563	0
5590	2
100506504	6
199990	655
100128003	325
6497	1621
79906	183
100129534	61
11079	5555
5192	589
9651	0
55229	841
388585	0
115110	8
100133445	8
8764	196
100506589	4
127281	865
79258	0
100287898	0
140625	0
440556	0
63976	0
100422968	0
27237	3
1953	34
693135	0
127262	724
49856	266
7161	34
100506635	0
57212	395
148870	0
388588	0
57470	1129
9731	1021
1677	113
339448	364
100133612	4
728716	0
284661	0
55966	0
261734	210
8514	126
26038	0
6146	5067
388591	8
23463	5675
148645	14
390992	0
387509	120
11332	1546
100130071	2
54626	4
83715	3
100422975	0
8718	133
57449	709
79707	1687
80835	0
3104	416
9903	5042
148479	1165
90326	143
55735	2633
100505887	0
23261	376
100505935	191
100505910	0
9341	7484
8863	1861
10911	19
3604	946
11315	8663
54206	4732
50651	113
473	2485
100505990	0
2023	83247
100505975	32
765	0
155184	0
6518	16
100302218	0
80045	80
407040	39
727721	21
9563	3361
80176	925
100506022	15
84275	442
199953	884
5293	1553
644997	0
22883	4876
645010	0
56998	119
84328	838
64802	839
116362	0
10277	2616
23095	4850
100287506	2
5226	5370
378708	693
1325	2
1676	1784
5195	759
54897	32
148345	0
23435	9188
10747	85
6723	2407
5394	3459
2475	5463
10218	2
29914	624
57540	0
26232	95
93611	499
26270	26
10459	989
374946	0
100506086	0
57085	1219
100506273	0
284498	0
100506310	0
100506116	0
4524	475
1185	1070
4878	9
4879	0
26829	1
90231	1478
5351	6758
9927	7759
60672	520
943	22
7133	2543
55187	3214
677885	4
9249	596
343066	0
126767	0
93190	2
390999	0
65121	4
440560	0
343069	1
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
729368	0
441873	0
440563	0
645359	0
401940	0
343068	0
391002	0
343070	0
400736	0
391003	0
654348	0
391001	0
729516	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	1526
7799	1861
23254	428
200197	12
55092	668
114827	3240
79180	3160
11330	6
63036	2
51032	4
842	280
23341	1446
100507192	1
79814	26
645317	11
84301	283
6248	144
23207	4206
284723	19
388595	0
54751	776
440567	158
729614	138
23013	3875
7709	1016
149563	0
27129	263
1187	4
1188	0
348487	20
1969	962
100506484	6
128272	4
79363	111
54455	909
26099	9460
374955	4
55707	1395
114819	128
26871	1
100506533	0
100133301	0
55672	893
84809	218
11209	68
26869	0
729574	0
284729	0
729587	0
6060	0
11223	21
100506687	12
26870	4
9696	281
4237	583
23400	1414
6390	3503
11240	38
400743	1
29943	56
51702	407
23569	14
353238	0
55920	4102
55160	772
81569	54
84966	2
127707	0
5081	0
80834	0
8659	159
100302276	0
126917	943
23352	13981
23065	4573
51154	2255
246181	12
22977	17
100506730	238
8574	1335
54896	745
832	9615
644075	65
644083	2
440574	3382
4681	1261
3362	0
255104	769
54546	0
23252	968
30814	0
5320	0
5322	0
26279	4
64600	0
391013	0
127733	0
127731	5
339505	16
55450	2354
79594	1833
163933	221
978	140
65018	5068
1650	12896
57576	30
400745	361
50809	7912
8672	6802
100302155	0
1889	12554
100506824	0
100506801	11
84224	104
249	46
5909	6
84196	2671
401944	0
3339	2904
23436	0
10136	0
29092	266
998	9852
54361	4
9923	1890
2046	0
712	0
714	0
713	0
2048	4648
100422914	0
646262	0
729059	1
23028	3482
100422866	0
7798	3682
3352	4
10236	12388
80818	965
148898	122
6920	82
55616	623
1870	674
3399	4825
259283	0
729856	0
6135	16192
6924	3698
100506963	39
57095	1778
11313	2657
2582	1257
3155	1148
2517	178
1269	1
55629	246
10772	282
127294	169
58985	38
163702	23
284632	0
57822	17
90529	273
57185	3545
11123	210
100506985	253
400746	0
10250	4981
25932	20654
864	0
25949	1961
57035	1482
6007	28
23585	6631
6006	65
55219	1308
26119	1145
57134	41
100507013	0
57190	4680
56181	1706
646471	157
79000	235
164091	738
3925	10281
5051	820
2134	27
7780	0
84676	0
149420	280
79927	0
100128346	6
51042	54
10256	0
378807	0
64793	817
83442	11178
91544	567
1043	0
55057	2
257101	0
79727	11
79947	1746
3151	14176
6195	915
100302190	0
8289	3959
55650	593
84243	742
2810	14
54707	810
63906	491
8431	0
10726	4820
126695	0
646567	0
388610	397
115572	225
6548	1817
23038	1765
84065	1216
644961	86
84958	4
9064	1524
8547	0
388611	3
2827	186
10163	5160
27245	1645
2268	0
2537	811
199870	581
23673	2152
5511	2390
677774	2
9473	606
6118	2055
27293	10
55113	1250
2140	502
653566	155
5724	8
22826	5520
93974	2742
83667	1816
54797	772
65979	2650
8420	1726
1104	2743
6080	76
26768	53
54952	713
85028	453
692212	11
677838	111
677825	20
692073	25
115273	16
6883	827
26824	2
10691	447
51441	3870
4985	0
2035	594
399474	531
6429	3027
51102	654
10076	1040
100288450	0
4146	2
100129196	5
7805	19
9672	799
9698	3813
692234	2
692235	4
692200	1
28997	15
79570	0
9410	1287
51538	1331
2170	46
347735	26
149086	0
284551	0
64129	2
3061	1
553115	1773
1307	5142
576	921
100423028	0
90853	4582
8073	10365
100507229	18
10657	8680
55116	694
23633	6605
200081	4791
79140	350
55721	212
149069	12
100507457	16
56063	215
8668	8294
339483	60
84734	8
3932	0
3065	3692
65108	1197
100128071	23
81629	125
55108	2212
728116	0
653121	848
339487	954
5928	4951
81493	2031
57648	1770
8565	5293
64766	1236
252995	27
3208	8
113452	622
127544	714
100505584	0
204	7254
113451	261
55223	370
149076	441
1912	4492
7579	425
114784	3471
127540	2
84970	1743
693137	0
2709	4
127534	0
2707	0
2701	0
113444	1670
58512	0
100506144	670
9204	1261
79830	1257
100506168	1750
6421	12692
9202	3121
79932	3037
23154	2412
339488	16
5690	4711
127703	2041
63967	2588
192670	459
26523	2451
192669	605
27285	0
54936	845
1296	9
27095	3030
55700	8831
9967	9601
79729	188
55194	365
83931	2558
100506594	4
84967	870
127700	206
64960	2103
1441	0
2899	0
100422898	0
728431	245
80149	1071
64769	1490
79753	863
7802	16
29889	2810
284654	0
54955	801
55143	2418
284656	0
149175	152
79693	770
127687	1013
4520	1541
3633	756
10946	4377
2275	151
51118	1873
5453	0
64121	2103
26292	1101
100506806	1
81025	33
54933	108
79647	4005
4725	4521
23499	17947
100292290	0
643314	3887
353500	38
728448	157
8761	10619
100506950	9
677834	10
26508	0
84618	0
51440	1
10450	668
656	4
64064	0
100287437	0
54802	1021
4610	23
84879	554
10487	20664
5538	5762
6018	1811
127391	0
10269	5987
1298	102
100286988	234
64744	1740
65243	225
339559	193
64789	189
127396	213
9783	3488
100130557	99
4802	1164
407034	0
407031	0
9132	10
163732	0
1503	4909
100507178	15
200172	9
22955	1039
100132074	0
1907	2
59269	1729
100507198	156
2981	0
2980	0
22887	2674
284716	2
84217	0
79717	259
100507214	10
728621	68
10465	889
100507252	4
4904	35569
149461	0
64175	2738
79078	256
100129924	2
100507268	0
374969	178
114625	588
51058	204
6513	3544
440584	39
440585	1
10969	3244
149465	4
100506711	0
128218	0
149466	0
7075	0
4352	0
991	4851
64834	3751
112950	1498
149469	116
23334	1506
81888	64
5792	149
9682	1812
100132774	44
6487	313
9048	261
9670	2000
1802	902
533	2630
8704	1181
149473	155
6536	175
128209	22
100129492	3
55929	824
79033	1463
55182	1938
79639	179
339541	24
26830	2
11004	3142
6202	17511
26811	11
94161	6
94162	3
94163	11
266675	4
1263	406
343521	4
149478	121
8643	15
8891	962
100507337	2
79654	3170
7389	4032
57643	400
400752	12
84842	18
4595	362
114034	495
10420	119
126661	128
25974	643
5052	12554
10327	1732
4678	6108
149483	31
60313	3330
728963	5
51249	1037
3652	791
23139	3940
8503	1065
100133124	0
10103	181
100507408	2
55624	3543
541468	47
8438	982
10489	2976
7388	5058
387338	809
2166	1
729041	6
127343	24
100507423	9
148930	0
8569	466
148932	378
64756	1096
374973	0
9813	4627
100129898	0
1580	0
163720	0
1579	0
260293	7
199974	5
284541	0
10158	4
6886	10
6491	1875
51727	7460
2301	0
84793	92
2306	88
388630	5
100507479	0
391037	0
200010	11
54558	460
84871	0
79656	0
1996	0
63950	0
11124	2
1031	0
284546	0
26994	4099
22996	70
2060	2391
114883	4093
4898	8333
100313892	0
5865	6501
51060	2815
112970	681
91408	1241
9372	1162
200014	2734
4998	1024
84950	1326
23318	1591
2882	0
348378	0
65260	576
79699	2237
440590	0
55268	46
6342	4166
127435	0
6512	3
1376	852
54987	687
4116	1427
100507564	137
7804	1691
163742	0
63948	0
148979	439
55706	2961
54432	946
1733	7
51668	1605
115353	1615
388633	0
9528	6936
127428	543
200008	0
606495	403
51253	4872
23648	1447
619518	12
26027	45
338094	2
374977	0
7268	1625
25973	225
55001	0
163747	4
1718	5600
199964	0
7809	0
255738	11
23358	5637
100507634	35
100507652	0
8613	3488
5563	665
199920	0
731	0
732	0
1600	0
115209	523
4070	6
114803	903
3725	9545
100131060	13
729467	4
55277	297
51361	6
1573	47
127795	0
4774	79
83941	1004
10207	80
100422902	0
100422946	0
54596	0
163782	0
7398	3892
85440	3500
27329	0
100507664	0
84938	626
27022	0
29929	298
23421	807
84455	284
79469	27
5236	4599
4919	77
148581	0
57685	364
55225	448
3716	11148
406893	0
205	5988
9829	626
100505510	0
3953	625
54741	4891
5142	423
84251	272
100422871	0
200132	12
10022	2
79819	166
57708	2939
23169	2163
400757	0
149233	2
3595	12
26135	14925
1647	2280
55970	14006
100289178	42
9077	185
79971	4755
100302279	0
6121	2
55635	4011
57554	8
5301	0
55631	1486
9295	6184
81573	2591
11147	381
1491	268
5733	130
100132618	79
9406	5677
406962	19
257194	203
127255	80
8790	829
51086	11
127254	3
1429	2948
127253	1455
431707	32
204962	4
34	1702
5876	2822
692085	35
26805	59
26804	92
4438	2
127247	0
100505563	0
256435	2
81849	4
256483	4
10026	3406
26289	239
26009	2845
23032	3283
374986	1055
653631	1228
374987	29
91624	478
8880	3435
11080	1542
54810	36
149047	7
5737	14
10964	555
10561	878
64123	0
23266	1406
79739	297
5567	1110
148418	4
391051	4
58511	0
80135	810
2787	1849
100505741	14
1486	383
439927	0
117178	1611
23566	0
255231	33
55283	0
126820	143
84144	52
148423	471
8915	456
646626	1
23576	378
3491	1545
54680	822
255631	8
57489	387
9635	25
1179	0
22802	0
9629	56
51100	3267
9403	2608
9653	1355
339524	6
8543	907
100505768	0
5586	2082
2959	489
56267	226
494115	277
2635	83
2633	1177
2634	1016
388646	2
115361	20
115362	53
163351	0
400759	5
23507	172
400761	15
84230	552
55144	556
492303	21
284695	1224
343472	0
100505821	0
100505809	9
100505840	0
84146	1414
100505857	42
164045	16
8317	848
343477	0
7049	601
676	0
253152	6
284697	16
23285	106
388649	0
11146	266
79871	376
2672	2
7813	554
6125	9936
6083	3
26782	6
388650	447
22823	337
50999	2685
343099	434
100131564	192
1810	1871
54874	509
8412	1188
100129046	0
100126348	0
30836	2335
2730	729
100505924	0
24	12
9411	665
100505940	0
5825	1690
2152	2558
126969	65
1266	2668
729970	12
199857	222
148534	139
25950	300
440594	0
58155	328
1806	343
400765	6
406928	0
51375	3432
163404	0
100129620	0
9890	648
54873	2673
391059	608
178	2753
730081	32
23443	954
64645	2683
163786	879
54482	1151
127495	48
1629	1593
100506007	78
8634	3646
693138	4
8556	310
54112	0
7412	11
2135	2328
148867	2842
51611	1364
100506051	179
100506029	122
1901	37
118427	1
94236	0
1301	10
55599	729
280	137
648740	11
279	2
276	0
277	1
278	0
100129138	0
55170	1317
22854	2425
10451	1058
29957	1821
148545	0
100507044	0
400768	0
653149	0
284611	1555
113802	0
55119	4909
163479	22
6814	3799
254268	36
642864	2
29899	2298
23155	2638
22911	1650
6884	3744
56900	2738
677766	0
127003	9
57535	508
6301	9550
1952	156
84722	1268
343263	2
6272	2074
5686	4537
284612	161
127002	237
284613	1110
57463	29
83873	0
2773	9060
406974	2
2780	39
271	4213
2948	943
2946	386
2944	518
100506210	4
2949	20
2947	2
79574	0
1435	2850
10768	8360
85369	1958
257	152
164153	2
388662	1039
100130800	0
3749	1307
100506257	360
64783	1046
9122	52
10542	3641
84432	2
643160	0
3744	31
3737	0
3738	0
963	23
100506293	33
55791	989
128338	1463
10390	1918
79961	4
1117	156
149620	12
27159	0
128344	199
441897	0
5016	17
79084	2757
515	11272
128346	19
140	6
100129269	8
5906	2965
55924	2796
100506343	235
11218	1713
3752	0
643355	0
55917	2154
100422976	0
7482	14
54879	726
829	15663
4343	2550
389	12095
333926	53
284467	9
128322	0
6566	6331
246182	10
100506392	194
9860	710
260425	872
10745	1972
54665	1101
26191	1314
100287722	20
440603	16
10717	882
64858	1295
204851	3883
56944	1435
148281	4
51592	2807
10286	2589
163259	269
270	3
4893	9109
7812	43647
80143	3033
6847	0
7252	0
10100	26
4803	87
100506434	21
81839	3918
845	0
4808	40
55356	921
126868	24
476	24332
84852	71
100506459	45
965	1092
3321	264
100302117	0
914	6
5738	13810
9398	99
8458	2031
100126331	0
80263	313
100506478	5
79679	0
10905	3541
54855	144
54834	1244
10885	3522
200162	2
6913	3247
10352	680
51179	0
3284	0
3283	0
441900	0
128102	22
644242	60
90874	2566
26227	4782
3158	0
83998	4
343505	0
11085	0
4853	32538
100506528	137
100132913	24
653820	438
100132314	27
337875	48
2210	0
647121	1
100423008	0
375010	6
100422949	0
100132733	6
100422844	0
100130000	2
100286793	26
100287981	29
644591	0
728833	91
647135	509
728841	330
728855	12
730256	0
653505	0
728875	30
767846	156
400818	1563
653513	79
9659	9554
100505971	76
9554	8455
440672	136
388677	1278
100132406	1006
100505987	32
148738	2
10628	9138
84265	958
284615	426
128077	942
9939	4167
114814	676
8799	1270
8515	388
148741	172
10401	2314
200035	117
10623	1039
27246	919
11126	6
5174	41
653519	670
728932	3
728939	2
26864	0
200030	61
100506011	0
100506032	364
100505723	0
100505752	19
149013	192
100505770	50
728989	51
5565	2061
100505794	245
171423	867
2330	94
9557	2914
100289211	0
607	1109
51205	241
2702	0
2703	0
51463	115
100312957	0
728912	46
100505824	0
284561	151
100132057	1
100505885	7
388685	27
100132999	63
164022	1
25832	1201
729086	16
645142	0
100288142	427
284565	242
730262	0
728936	53
728945	0
642691	0
645166	148
26863	0
388692	0
645262	0
100132417	2
100507552	46
653598	0
642441	44
100288037	0
644634	0
440689	59
2209	4
653604	10
8370	0
126961	0
8337	2
100132909	170
337873	36
723790	0
333932	0
554313	1
8349	328
8338	32
317772	9
51027	199
100507640	0
9900	2955
10262	2676
10903	540
56957	3285
11311	2002
51177	3781
81611	5656
23632	22
51107	3793
79630	294
148523	633
54460	1113
9129	1874
23248	2711
80222	1706
1893	1662
54507	49
100422997	0
4170	9349
2029	5053
55204	1265
84072	7
1520	1948
1513	5485
100289153	0
405	2036
9869	1077
29956	7112
8416	133
55793	414
58497	424
149428	17
54964	213
56882	2707
10962	1611
126626	275
10500	97
79626	2
388695	304
79005	953
29765	6
6944	1170
8394	5231
5710	6244
100507670	56
57592	1291
5298	3581
5993	2709
100505481	8
8991	0
100505497	0
5692	2957
23126	2456
100505516	10
57530	20
7286	325
693139	0
81609	1911
11189	6
284485	2
65005	1479
51686	46
11022	331
339398	0
6097	1
100191040	0
100132111	0
284486	0
100505537	176
117145	950
6281	18297
6282	14537
100131107	0
126637	0
7062	31
126638	156
388697	579
2312	742
339400	178
388698	28
49860	0
254910	0
54544	0
353145	0
84648	2
353144	0
353143	0
353142	2
353141	2
353140	0
26239	0
353139	0
199834	0
100129271	0
448834	0
353137	0
353135	0
353134	0
353133	0
353132	0
353131	0
448835	0
4184	0
3713	2
163778	0
6698	0
6707	0
6699	0
6703	40
6700	6
6701	0
6704	2
6705	0
6702	0
6706	0
149018	0
4014	0
114771	0
57115	0
6280	2
6283	0
6279	0
338324	0
645922	0
6278	0
100505623	42
6277	31239
6276	9
6275	304
6274	994
6273	947
140576	3574
57402	0
6284	1436
6271	23
26097	2362
23557	833
3608	8274
4881	2
65123	3502
11000	175
343052	2
57459	1751
9909	1500
200186	1142
27173	5129
148327	165
10899	2490
5872	8734
6232	8508
91181	9
7170	17355
100126346	0
388701	0
25912	6310
9898	5805
10456	2767
89872	0
57198	2087
3570	373
126669	10
126668	0
55585	2588
1141	10
103	11121
3782	500
10654	1436
57326	1202
90780	1149
6464	10894
1163	2609
100423020	38
80308	1137
55891	4
51043	1515
127579	1
149095	8
100505666	11
8751	1231
1945	106
1944	79
1942	8
55974	1555
54344	293
200185	1874
