Geneid	HISAT2 on data 17 and data 16: aligned reads (BAM)
653635	264
100422834	1
645520	0
79501	0
729737	9
100507658	0
100132287	2
100288646	0
729759	0
100131754	269
81399	0
100287654	0
100133331	37
100288069	24
100287934	2
400728	188
79854	43
643837	204
100506327	38
284593	0
284600	3
100130417	0
148398	95
26155	2992
339451	109
84069	132
84808	43
57801	6
9636	233
375790	1553
401934	0
54991	258
406984	0
406983	0
554210	0
100506376	0
254173	0
8784	0
7293	0
51150	4911
126792	701
388581	11
118424	1388
6339	20
116983	745
126789	323
54973	1259
80772	744
83756	11
1855	2173
54587	72
100506404	1
54998	2933
81669	538
148413	194
55052	1530
441869	0
643965	0
100288271	0
64856	0
219293	2
83858	1187
55210	2136
339453	0
29101	2819
643988	0
142678	525
8510	2
984	683
728661	553
8511	0
728642	249
100506482	122
9906	14
65220	1393
2782	8485
163688	0
339456	0
85452	0
2563	0
5590	4
100506504	14
199990	388
100128003	79
6497	858
79906	134
100129534	56
11079	3411
5192	359
9651	0
55229	400
388585	0
115110	2
100133445	0
8764	125
100506589	1
127281	421
79258	0
100287898	0
140625	0
440556	1
63976	2
100422968	0
27237	0
1953	6
693135	0
127262	688
49856	185
7161	0
100506635	0
57212	157
148870	0
388588	0
57470	984
9731	495
1677	73
339448	356
100133612	21
728716	0
284661	0
55966	0
261734	197
8514	234
26038	0
6146	6152
388591	12
23463	4437
148645	4
390992	0
387509	44
11332	2054
100130071	2
54626	4
83715	5
100422975	0
8718	48
57449	301
79707	845
80835	8
3104	237
9903	5412
148479	1430
90326	176
55735	2303
100505887	0
23261	493
100505935	289
100505910	0
9341	7498
8863	544
10911	7
3604	258
11315	11610
54206	3998
50651	63
473	1243
100505990	0
2023	106408
100505975	32
765	2
155184	0
6518	25
100302218	0
80045	86
407040	7
727721	7
9563	2883
80176	1300
100506022	6
84275	615
199953	1046
5293	548
644997	0
22883	3519
645010	0
56998	349
84328	979
64802	609
116362	0
10277	2076
23095	3245
100287506	0
5226	4699
378708	634
1325	1
1676	1494
5195	786
54897	17
148345	0
23435	8111
10747	35
6723	4985
5394	2710
2475	2777
10218	2
29914	761
57540	2
26232	29
93611	410
26270	16
10459	1597
374946	0
100506086	0
57085	1406
100506273	0
284498	0
100506310	0
100506116	0
4524	301
1185	522
4878	12
4879	2
26829	0
90231	2240
5351	9221
9927	7675
60672	571
943	21
7133	1434
55187	1219
677885	1
9249	403
343066	0
126767	0
93190	0
390999	0
65121	6
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
729368	0
441873	0
440563	0
645359	0
401940	0
343068	0
391002	0
343070	0
400736	0
391003	0
654348	0
391001	0
729516	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	2671
7799	1048
23254	556
200197	15
55092	692
114827	700
79180	4874
11330	4
63036	0
51032	4
842	137
23341	769
100507192	0
79814	1
645317	6
84301	142
6248	117
23207	4122
284723	27
388595	0
54751	150
440567	212
729614	99
23013	1293
7709	908
149563	0
27129	43
1187	2
1188	0
348487	39
1969	843
