ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0050900,leukocyte migration,31/482,396/18870,3.6529216017901166e-8,1.542628792435966e-4,1.3519655107256895e-4,ADA/GCSAML/RARRES2/LBP/ITGA4/DPP4/CXCL12/PTN/TGFB2/THY1/CXADR/PIK3CD/CD74/ITGA7/CHST2/MYH9/PLEC/TNFRSF11A/CD9/MTUS1/DBH/F2RL1/ADORA1/PECAM1/CNN2/SAA1/HMOX1/NOD2/CCL2/ITGA6/CCL5,31
GO:0002685,regulation of leukocyte migration,20/482,230/18870,2.015387780125136e-6,0.0042554912977342246,0.0037295281236420937,ADA/GCSAML/RARRES2/LBP/ITGA4/DPP4/CXCL12/PTN/THY1/CD74/CHST2/CD9/MTUS1/F2RL1/ADORA1/CNN2/HMOX1/NOD2/CCL2/CCL5,20
GO:0034329,cell junction assembly,29/482,446/18870,4.495940911135089e-6,0.006328786155907828,0.005546571313526658,ICAM5/CDH11/MPDZ/KDR/THY1/CDH3/PTPRS/PLEC/NLGN4Y/DKK1/CLSTN2/CD9/GAP43/EPB41L5/SLITRK5/PCLO/LRFN5/PKP1/CORO2B/AGT/PCDHB16/PECAM1/SNAI2/CLDN14/ITGA6/SNCA/PCDHB2/PCDHB10/MEF2C,29
GO:0033627,cell adhesion mediated by integrin,11/482,88/18870,1.465489312700272e-5,0.015471903418833121,0.013559632693300412,ADA/EMILIN2/ITGA4/DPP4/ITGA11/TGFB2/ITGA7/ITGBL1/SNAI2/ITGA6/CCL5,11
GO:0050804,modulation of chemical synaptic transmission,29/482,489/18870,2.5522429764568307e-5,0.018647649583007644,0.016342868236313642,CHRDL1/CDH11/DLGAP4/RGS4/PTN/ASIC1/PTPRS/STX1B/NLGN4Y/DKK1/CLSTN2/SYT11/VGF/BEGAIN/BCHE/GRID1/DBN1/P2RY1/ADORA1/NFATC4/NTF4/MAP1A/CCL2/CALB2/CACNG8/SNCA/GRM1/RIMS2/MEF2C,29
GO:0099177,regulation of trans-synaptic signaling,29/482,490/18870,2.6494410963307097e-5,0.018647649583007644,0.016342868236313642,CHRDL1/CDH11/DLGAP4/RGS4/PTN/ASIC1/PTPRS/STX1B/NLGN4Y/DKK1/CLSTN2/SYT11/VGF/BEGAIN/BCHE/GRID1/DBN1/P2RY1/ADORA1/NFATC4/NTF4/MAP1A/CCL2/CALB2/CACNG8/SNCA/GRM1/RIMS2/MEF2C,29
GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,20/482,279/18870,3.534110242343131e-5,0.019228019830311173,0.016851506841824616,CDH11/PTK7/PCDH18/TGFB2/FGFRL1/PCDH7/CXADR/CDH3/PCDHB8/PTPRS/CLSTN2/ADGRL1/FAT2/LRFN5/PCDHB16/PECAM1/CLDN14/PCDHB2/PCDHB10/MBP,20
GO:0002573,myeloid leukocyte differentiation,18/482,235/18870,3.642532764444456e-5,0.019228019830311173,0.016851506841824616,LTF/NDP/ZNF675/TF/PIK3CD/CD74/MYH9/MAFB/TNFRSF11A/SNX10/PPARG/SIGLEC15/TLR4/F2RL1/TNFRSF11B/CTNNBIP1/CSF2/INHBA,18
GO:0023061,signal release,28/482,484/18870,5.429652886907288e-5,0.02547713793489942,0.02232825678405383,SYT13/CXCL12/PTPRN/KDM5B/TGM2/ASIC1/STX1B/NKX6-1/TNFRSF11A/PPARG/SYT11/VGF/PCSK5/PCLO/F2RL1/AGT/P2RY1/TBX3/SPINK1/ADORA1/EPHA5/SNCA/RIMS2/ILDR2/IRS1/INHBA/MEF2C/CCL5,28
GO:0072567,chemokine (C-X-C motif) ligand 2 production,5/482,20/18870,1.2018541842263587e-4,0.04091736236659456,0.03586012589726597,CD74/TLR4/OAS1/F2RL1/MBP,5
GO:2000341,regulation of chemokine (C-X-C motif) ligand 2 production,5/482,20/18870,1.2018541842263587e-4,0.04091736236659456,0.03586012589726597,CD74/TLR4/OAS1/F2RL1/MBP,5
GO:0007229,integrin-mediated signaling pathway,11/482,111/18870,1.2805851127669615e-4,0.04091736236659456,0.03586012589726597,ITGA4/PTN/ITGA11/THY1/ITGA7/LAMA5/ITGBL1/MYH9/ITGA6/ADAMTS13/LAMA1,11
GO:0007435,salivary gland morphogenesis,6/482,32/18870,1.387047686030662e-4,0.04091736236659456,0.03586012589726597,HGF/TGFB2/LAMA5/TGM2/SNAI2/LAMA1,6
GO:0060445,branching involved in salivary gland morphogenesis,5/482,21/18870,1.544489779113527e-4,0.04091736236659456,0.03586012589726597,HGF/LAMA5/TGM2/SNAI2/LAMA1,5
