"","WT_1","KD_1","WT_2","KD_2","WT_3","KD_3"
"1",5,8,2,0,8,4
"10",4,4,1,2,0,4
"100",284,1730,241,1263,519,1823
"1000",2144,2490,1105,892,2432,1539
"10000",900,1486,158,18,2173,1061
"100008586",0,0,0,0,0,0
"100008587",0,0,0,0,0,0
"100008588",0,0,0,0,0,0
"100008589",0,0,0,0,0,0
"100009601",0,0,2,0,0,0
"100009602",0,0,1,0,0,0
"100009605",0,0,0,0,0,0
"100009606",0,0,0,0,0,0
"100009607",0,0,0,0,0,0
"100009613",0,0,0,0,0,0
"100009676",102,93,58,66,106,58
"10001",2323,1885,1020,1119,1922,1798
"10002",4,4,4,1,3,0
"10003",15,49,77,32,151,51
"100033411",0,0,0,1,0,0
"100033413",1,1,1,0,5,1
"100033414",2,0,4,0,8,0
"100033415",0,0,0,0,2,0
"100033416",0,2,33,3,31,4
"100033417",0,0,0,0,0,0
"100033418",0,0,4,1,1,0
"100033419",0,2,0,0,0,1
"100033420",2,0,1,0,3,0
"100033421",0,0,0,0,0,0
"100033422",0,0,0,0,0,0
"100033423",0,0,0,0,0,0
"100033424",0,0,1,0,4,0
"100033425",0,0,1,0,2,0
"100033426",0,0,2,0,2,0
"100033427",0,0,0,0,0,0
"100033428",0,0,0,0,0,0
"100033429",0,0,0,0,0,0
"100033430",2,0,0,0,0,0
"100033431",1,2,5,1,6,0
"100033432",5,0,8,1,10,2
"100033433",2,0,3,1,9,1
"100033434",0,0,1,0,0,0
"100033435",0,0,3,0,2,0
"100033436",0,0,0,0,0,0
"100033437",0,0,0,0,0,0
"100033438",0,0,0,0,0,0
"100033439",0,0,0,1,6,0
"100033440",0,0,0,0,0,0
"100033441",0,0,0,0,0,0
"100033442",0,0,0,0,0,0
"100033443",0,0,0,0,0,0
"100033444",0,0,0,0,0,0
"100033445",0,0,0,0,0,0
"100033446",0,0,0,0,0,0
"100033447",0,0,0,0,0,0
"100033448",0,0,0,0,0,0
"100033449",0,0,0,0,0,0
"100033450",0,0,0,0,0,0
"100033451",0,0,0,0,0,0
"100033453",0,0,0,0,0,0
"100033454",0,0,0,0,0,0
"100033455",0,0,0,0,0,0
"100033456",0,0,0,0,0,0
"100033458",0,0,0,0,0,0
"100033460",0,0,0,0,0,0
"100033603",0,0,0,0,0,0
"100033799",0,0,0,0,0,0
"100033800",0,0,0,0,0,0
"100033801",0,0,0,0,0,0
"100033802",0,0,0,0,0,0
"100033803",0,0,0,0,0,0
"100033804",0,0,0,0,0,0
"100033805",0,0,0,0,0,0
"100033806",0,0,0,0,0,0
"100033807",0,0,0,0,0,0
"100033808",0,0,0,0,0,0
"100033809",0,0,0,0,0,0
"100033810",0,0,0,0,0,0
"100033811",0,0,0,0,0,0
"100033812",0,0,0,0,0,0
"100033813",0,0,0,0,0,0
"100033814",0,0,0,0,0,0
"100033815",0,0,0,0,0,0
"100033816",0,0,0,0,0,0
"100033817",0,0,0,0,0,0
"100033818",0,0,0,0,0,0
"100033819",0,0,0,0,0,0
"100033820",0,0,3,0,8,2
"100033821",0,0,0,0,0,0
"100033822",0,0,0,0,0,0
"100034743",0,0,7,2,0,0
"100036519",2,2,0,0,0,0
"100036563",0,0,0,0,0,0
"100036564",0,0,0,0,0,0
"100036565",0,0,0,0,0,0
"100036566",0,0,0,0,0,0
"100036567",0,0,0,0,0,0
"100037417",40,24,3,0,59,32
"100038246",0,0,0,0,0,0
"10004",0,1,0,1,2,0
"100048912",0,0,0,0,0,0
"100049076",9,6,9,10,12,13
"100049587",0,0,0,0,0,0
"100049613",0,0,0,0,0,0
"100049614",0,0,0,0,0,0
"100049615",0,0,0,0,3,0
"100049716",21,8,31,7,32,8
"10005",972,798,424,563,746,749
"10006",2480,3036,1297,1697,2895,2771
"10007",7729,6761,1821,6035,3709,8248
"100073347",0,0,0,0,0,0
"10008",6,0,6,5,4,4
"10009",776,1615,723,787,1694,1448
"100093630",1117,1287,695,804,1594,1316
"100093631",51,61,230,248,85,36
"100093698",0,0,0,0,0,0
"1001",57,112,0,108,0,135
"10010",715,1184,802,645,1545,1089
"100101115",0,0,0,0,0,0
"100101116",0,0,0,0,0,0
"100101117",0,0,0,0,0,0
"100101118",0,0,0,0,0,0
"100101120",0,0,0,0,0,0
"100101121",0,0,0,0,0,0
"100101148",0,0,8,10,0,0
"100101266",0,0,0,0,0,0
"100101267",2734,2435,1340,1267,2501,1628
"100101440",0,0,12,15,0,0
"100101467",317,248,375,176,769,326
"100101478",0,0,5,1,0,0
"100101490",172,180,140,91,318,116
"100101938",0,0,0,0,0,0
"10011",2890,2053,753,1453,1576,2053
"100113378",0,0,0,3,1,4
"100113379",0,0,2,3,1,4
"100113380",41,29,0,0,19,24
"100113381",7,14,9,7,16,9
"100113382",0,0,0,0,0,0
"100113384",0,1,2,1,2,0
"100113385",2,3,0,0,4,3
"100113386",20,26,34,20,76,15
"100113389",1,2,1,4,5,0
"100113390",2,0,0,0,3,1
"100113391",0,0,0,0,0,2
"100113392",4,0,3,2,0,6
"100113393",3,2,10,2,6,3
"100113402",2,1,1,0,2,0
"100113403",0,0,0,0,0,0
"100113404",0,0,0,0,0,0
"100113407",105,336,54,102,199,173
"100124412",0,0,0,0,0,2
"100124516",7,5,9,11,8,18
"100124533",1,0,3,9,6,3
"100124534",3,3,0,0,11,7
"100124535",0,0,1,0,0,0
"100124536",0,0,1,0,0,0
"100124537",0,0,0,0,0,0
"100124538",0,0,0,0,0,0
"100124539",0,0,0,0,0,0
"100124540",0,0,0,0,0,0
"100124541",0,0,0,0,0,0
"100124542",0,0,0,0,0,0
"100124692",0,14,0,0,23,19
"100124700",72,184,2,97,0,197
"100125288",57,84,16,38,35,34
"100125556",71,18,26,17,61,35
"100126270",0,0,1,0,2,2
"100126296",1,0,2,0,0,0
"100126297",0,0,0,0,0,0
"100126299",1,0,0,0,0,0
"100126300",0,0,0,0,0,0
"100126301",0,0,0,0,0,0
"100126302",0,0,0,0,0,0
"100126303",0,0,0,0,0,0
"100126304",0,0,0,0,0,0
"100126306",0,0,0,0,0,0
"100126307",0,0,0,0,0,0
"100126308",0,0,0,0,0,0
"100126309",0,0,0,0,0,0
"100126310",0,0,0,0,0,0
"100126311",0,0,0,0,0,0
"100126313",0,1,0,0,0,0
"100126314",0,0,0,0,0,0
"100126315",0,0,0,0,0,0
"100126316",0,0,0,0,0,0
"100126317",1,0,0,0,2,0
"100126318",0,0,0,0,0,0
"100126319",0,0,0,0,0,0
"100126320",0,0,0,0,0,0
"100126321",0,0,0,0,0,0
"100126323",0,0,0,0,0,0
"100126324",0,0,0,0,0,0
"100126325",0,0,0,0,0,0
"100126326",0,0,0,0,0,0
"100126327",0,0,0,0,0,0
"100126328",2,0,1,2,4,3
"100126329",0,0,0,0,1,0
"100126330",0,0,0,0,0,0
"100126331",0,0,0,0,0,0
"100126332",0,0,1,1,0,0
"100126333",0,0,0,0,0,0
"100126334",0,0,0,0,0,0
"100126335",0,0,0,0,0,0
"100126336",0,0,0,0,0,0
"100126337",0,0,0,0,0,0
"100126338",0,0,0,0,0,0
"100126339",0,0,0,0,0,0
"100126340",0,0,0,0,0,0
"100126341",0,0,0,0,0,0
"100126342",0,0,0,0,0,0
"100126343",0,0,1,2,0,0
"100126344",0,0,0,0,0,0
"100126345",0,0,0,0,0,0
"100126346",0,0,0,0,0,0
"100126347",0,0,0,0,0,0
"100126348",1,0,0,0,0,0
"100126349",0,0,0,0,0,0
"100126350",1,0,4,2,1,0
"100126351",0,0,0,0,0,0
"100126352",0,0,0,0,0,0
"100126354",0,0,0,0,0,0
"100126355",0,0,0,0,0,0
"100126356",0,2,0,2,0,2
"100126447",0,0,0,0,0,0
"100126476",0,0,0,0,0,0
"100126481",0,0,0,0,0,0
"100126484",0,0,0,0,0,0
"100126488",0,0,0,0,0,0
"100126510",0,0,0,0,0,0
"100126512",0,0,0,0,0,0
"100126514",0,0,0,0,0,0
"100126517",0,0,1,1,0,0
"100126520",0,0,0,0,0,0
"100126533",0,0,0,0,0,0
"100126582",20,14,0,0,17,24
